#         zi	             Dl	             mu
  0.00340964	        14.6406	        30.8278
    0.003445	        14.7929	        30.8503
  0.00348074	        14.9467	        30.8727
  0.00351684	        15.1022	        30.8952
  0.00355332	        15.2593	        30.9177
  0.00359018	         15.418	        30.9401
  0.00362742	        15.5784	        30.9626
  0.00366505	        15.7404	        30.9851
  0.00370306	        15.9042	        31.0076
  0.00374147	        16.0696	          31.03
  0.00378028	        16.2368	        31.0525
  0.00381949	        16.4057	         31.075
  0.00385911	        16.5764	        31.0974
  0.00389914	        16.7488	        31.1199
  0.00393959	        16.9231	        31.1424
  0.00398045	        17.0992	        31.1649
  0.00402174	        17.2771	        31.1874
  0.00406345	        17.4569	        31.2098
   0.0041056	        17.6385	        31.2323
  0.00414819	        17.8221	        31.2548
  0.00419122	        18.0075	        31.2773
  0.00423469	        18.1949	        31.2998
  0.00427862	        18.3843	        31.3222
    0.004323	        18.5756	        31.3447
  0.00436784	         18.769	        31.3672
  0.00441315	        18.9643	        31.3897
  0.00445892	        19.1617	        31.4122
  0.00450517	        19.3611	        31.4347
   0.0045519	        19.5627	        31.4571
  0.00459912	        19.7663	        31.4796
  0.00464682	        19.9721	        31.5021
  0.00469502	          20.18	        31.5246
  0.00474372	        20.3901	        31.5471
  0.00479293	        20.6024	        31.5696
  0.00484265	        20.8169	        31.5921
  0.00489288	        21.0336	        31.6146
  0.00494363	        21.2526	        31.6371
  0.00499491	        21.4739	        31.6596
  0.00504672	        21.6975	        31.6821
  0.00509907	        21.9235	        31.7045
  0.00515196	        22.1518	         31.727
   0.0052054	        22.3825	        31.7495
  0.00525939	        22.6156	         31.772
  0.00531395	        22.8512	        31.7945
  0.00536907	        23.0892	         31.817
  0.00542476	        23.3297	        31.8395
  0.00548103	        23.5727	         31.862
  0.00553788	        23.8182	        31.8845
  0.00559532	        24.0664	        31.9071
  0.00565336	        24.3171	        31.9296
    0.005712	        24.5704	        31.9521
  0.00577125	        24.8264	        31.9746
  0.00583111	        25.0851	        31.9971
   0.0058916	        25.3465	        32.0196
  0.00595271	        25.6106	        32.0421
  0.00601446	        25.8775	        32.0646
  0.00607684	        26.1472	        32.0871
  0.00613988	        26.4197	        32.1096
  0.00620356	         26.695	        32.1322
  0.00626791	        26.9733	        32.1547
  0.00633293	        27.2544	        32.1772
  0.00639861	        27.5385	        32.1997
  0.00646499	        27.8256	        32.2222
  0.00653204	        28.1157	        32.2447
   0.0065998	        28.4088	        32.2673
  0.00666826	         28.705	        32.2898
  0.00673743	        29.0043	        32.3123
  0.00680731	        29.3067	        32.3348
  0.00687792	        29.6123	        32.3574
  0.00694926	        29.9211	        32.3799
  0.00702135	        30.2331	        32.4024
  0.00709418	        30.5484	        32.4249
  0.00716776	        30.8671	        32.4475
  0.00724211	         31.189	          32.47
  0.00731723	        31.5144	        32.4925
  0.00739313	        31.8431	        32.5151
  0.00746982	        32.1753	        32.5376
   0.0075473	         32.511	        32.5602
  0.00762559	        32.8502	        32.5827
  0.00770468	         33.193	        32.6052
   0.0077846	        33.5393	        32.6278
  0.00786535	        33.8893	        32.6503
  0.00794693	         34.243	        32.6729
  0.00802937	        34.6004	        32.6954
  0.00811265	        34.9615	         32.718
   0.0081968	        35.3264	        32.7405
  0.00828182	        35.6952	         32.763
  0.00836773	        36.0678	        32.7856
  0.00845453	        36.4444	        32.8082
  0.00854222	        36.8249	        32.8307
  0.00863083	        37.2094	        32.8533
  0.00872035	        37.5979	        32.8758
  0.00881081	        37.9905	        32.8984
   0.0089022	        38.3873	        32.9209
  0.00899454	        38.7882	        32.9435
  0.00908784	        39.1934	        32.9661
   0.0091821	        39.6028	        32.9886
  0.00927734	        40.0165	        33.0112
  0.00937357	        40.4345	        33.0338
   0.0094708	         40.857	        33.0563
  0.00956904	        41.2839	        33.0789
   0.0096683	        41.7153	        33.1015
  0.00976859	        42.1512	        33.1241
  0.00986991	        42.5918	        33.1466
  0.00997229	        43.0369	        33.1692
   0.0100757	        43.4868	        33.1918
   0.0101802	        43.9414	        33.2144
   0.0102858	        44.4008	         33.237
   0.0103925	         44.865	        33.2595
   0.0105003	        45.3341	        33.2821
   0.0106092	        45.8081	        33.3047
   0.0107193	        46.2872	        33.3273
   0.0108305	        46.7713	        33.3499
   0.0109428	        47.2605	        33.3725
   0.0110563	        47.7548	        33.3951
    0.011171	        48.2544	        33.4177
   0.0112869	        48.7593	        33.4403
    0.011404	        49.2694	        33.4629
   0.0115223	         49.785	        33.4855
   0.0116418	         50.306	        33.5081
   0.0117625	        50.8325	        33.5307
   0.0118845	        51.3645	        33.5533
   0.0120078	        51.9022	        33.5759
   0.0121324	        52.4455	        33.5985
   0.0122582	        52.9946	        33.6212
   0.0123854	        53.5495	        33.6438
   0.0125138	        54.1103	        33.6664
